!CSV A.01.01
!Keysight Technologies,N5221B,MY61256098,A.15.70.20
!Date: Tuesday, December 12, 2023 03:50:34
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
35526.405923812,-3.904772,175.96719
35798.46603202,-3.900775,175.95355
36072.609568048,-3.8967083,175.93993
36348.852486723,-3.8913226,175.92816
36627.210865051,-3.8950429,175.9153
36907.700903155,-3.9038656,175.90318
37190.338925221,-3.9099548,175.89151
37475.141380442,-3.9220638,175.87964
37762.12484398,-3.9256713,175.86757
38051.306017928,-3.9250534,175.8541
38342.701732284,-3.9247968,175.84149
38636.32894593,-3.9188809,175.83099
38932.204747617,-3.9169152,175.81921
39230.346356963,-3.9135389,175.80745
39530.771125452,-3.9059227,175.79642
39833.496537445,-3.9069529,175.78404
40138.540211199,-3.9050305,175.7731
40445.91989989,-3.9175508,175.76149
40755.653492647,-3.925318,175.75146
41067.759015594,-3.9341593,175.74065
41382.254632899,-3.9397843,175.72881
41699.158647829,-3.9368768,175.71643
42018.489503819,-3.9348621,175.70313
42340.265785542,-3.9328275,175.6918
42664.506219991,-3.9262366,175.68024
42991.229677572,-3.9305682,175.66986
43320.455173197,-3.9304905,175.65942
43652.201867397,-3.9311783,175.64877
43986.489067431,-3.9379411,175.63695
44323.336228414,-3.9369078,175.6261
44662.762954447,-3.9497759,175.61513
45004.788999758,-3.9578788,175.6037
45349.434269854,-3.9611404,175.59428
45696.718822675,-3.9662917,175.58437
46046.662869768,-3.9566374,175.57347
46399.286777456,-3.9500716,175.56232
46754.611068027,-3.9444528,175.55208
47112.656420931,-3.9453559,175.54225
47473.443673976,-3.9557197,175.53174
47836.993824549,-3.9633908,175.52159
48203.328030834,-3.9658053,175.51097
48572.467613041,-3.9715054,175.50047
48944.434054652,-3.9675045,175.48985
49319.249003669,-3.9718223,175.47964
49696.934273871,-3.9742866,175.47083
50077.51184609,-3.9758019,175.46048
50461.003869484,-3.9870484,175.45004
50847.432662828,-3.9836478,175.44057
51236.820715816,-3.9864635,175.43132
51629.190690366,-3.987607,175.42088
52024.565421939,-3.9875042,175.41066
52422.967920872,-3.9916198,175.40038
52824.421373712,-3.9916914,175.39107
53228.94914457,-3.9939849,175.38158
53636.574776476,-3.9885759,175.37325
54047.321992754,-3.9808106,175.36446
54461.2146984,-3.9749696,175.35614
54878.276981474,-3.9768455,175.34764
55298.533114499,-3.982862,175.33958
55722.00755588,-3.9901662,175.33086
56148.724951321,-3.9966147,175.32292
56578.710135264,-3.9995952,175.31349
57011.988132331,-4.0033946,175.30717
57448.584158782,-4.0032854,175.30066
57888.523623983,-4.0023875,175.29213
58331.832131882,-4.0015445,175.28406
58778.535482505,-3.9987314,175.27588
59228.659673451,-3.9994543,175.26782
59682.230901408,-4.001781,175.26093
60139.275563678,-4.0052047,175.25404
60599.820259712,-4.0089855,175.24699
61063.891792661,-4.0162144,175.23987
61531.517170931,-4.0217843,175.23418
62002.723609759,-4.0276403,175.22832
62477.538532794,-4.0303445,175.2211
62955.989573697,-4.031774,175.21416
63438.104577744,-4.032865,175.20735
63923.911603452,-4.0298333,175.20026
64413.438924205,-4.0325789,175.19479
64906.715029909,-4.0308957,175.18715
65403.768628641,-4.030108,175.18056
65904.628648325,-4.0291243,175.17599
66409.324238414,-4.0301313,175.17136
66917.884771586,-4.0359821,175.1662
67430.339845455,-4.0395288,175.16212
67946.719284292,-4.0394645,175.15794
68467.053140762,-4.0423336,175.15181
68991.371697671,-4.0413771,175.14729
69519.705469731,-4.0416546,175.1424
70052.085205334,-4.0402102,175.13686
70588.541888344,-4.0363698,175.13199
71129.106739895,-4.0347924,175.12927
71673.811220216,-4.0256567,175.12592
72222.687030452,-4.0230498,175.12349
72775.76611452,-4.0208721,175.12195
73333.080660958,-4.0238333,175.11894
73894.663104806,-4.0314364,175.11732
74460.546129489,-4.0346122,175.11458
75030.76266872,-4.0423193,175.11224
75605.345908419,-4.0401568,175.11012
76184.329288641,-4.0377827,175.10902
76767.746505526,-4.0305233,175.10765
77355.631513257,-4.0227776,175.10612
77948.018526035,-4.01824,175.10522
78544.942020077,-4.0111275,175.10432
79146.436735612,-4.0094137,175.10318
79752.537678914,-4.0114946,175.10355
80363.280124331,-4.0172715,175.10391
80978.69961634,-4.0271711,175.10381
81598.831971619,-4.0386734,175.10434
82223.713281128,-4.044065,175.1051
82853.37991221,-4.0473638,175.10573
83487.868510709,-4.0360518,175.1066
84127.2160031,-4.0214996,175.10794
84771.459598641,-4.0106316,175.11082
85420.636791538,-3.9970129,175.11327
86074.785363125,-3.9938374,175.11606
86733.943384065,-3.9875305,175.11928
87398.149216564,-3.9912961,175.12221
88067.441516608,-4.0021648,175.12639
88741.859236204,-4.0076442,175.13226
89421.441625656,-4.020566,175.1371
90106.228235845,-4.0243034,175.14166
90796.258920531,-4.0225315,175.1467
91491.573838672,-4.0192647,175.15297
92192.213456764,-4.0052471,175.15959
92898.218551193,-3.9952588,175.16545
93609.630210609,-3.9880576,175.17163
94326.489838318,-3.9796996,175.17906
95048.839154691,-3.9838181,175.18698
95776.720199593,-3.9863505,175.19443
96510.175334829,-3.994626,175.20255
97249.247246607,-4.0095334,175.21104
97993.978948029,-4.0153761,175.2204
98744.413781585,-4.0256128,175.23056
99500.595421685,-4.0233226,175.23999
100262.56787719,-4.0147901,175.25055
101030.37549399,-4.0096469,175.26111
101804.06295757,-3.9982822,175.27354
102583.6752956,-3.9953759,175.28581
103369.2578806,-3.9977586,175.29849
104160.85643252,-3.9930634,175.31134
104958.51702146,-3.9986584,175.3248
105762.28607031,-3.9940302,175.33994
106572.21035745,-3.9941611,175.3549
107388.33701951,-4.0020514,175.3698
108210.7135541,-3.9981594,175.3851
109039.38782252,-4.0046673,175.40152
109874.40805264,-4.0006332,175.41916
110715.82284164,-3.9915638,175.437
111563.68115883,-3.990257,175.45348
112418.03234857,-3.9767156,175.47105
113278.92613307,-3.9784472,175.48973
114146.4126153,-3.9758663,175.50958
115020.54228196,-3.973711,175.52994
115901.36600633,-3.978025,175.54926
116788.9350513,-3.9708831,175.5708
117683.30107233,-3.9721308,175.59209
118584.51612045,-3.9743929,175.61264
119492.63264528,-3.9736829,175.63411
120407.70349814,-3.9837813,175.65735
121329.78193503,-3.9843204,175.68045
122258.92161983,-3.9838545,175.70419
123195.17662735,-3.9857695,175.72873
124138.6014465,-3.9771039,175.75351
125089.25098349,-3.9799662,175.77736
126047.18056497,-3.9773707,175.80252
127012.44594131,-3.9829366,175.82845
127985.10328977,-3.9947357,175.85564
128965.20921787,-3.9958837,175.88379
129952.82076659,-4.0053892,175.91028
130947.99541374,-4.004364,175.93713
131950.79107729,-4.0068874,175.96597
132961.26611874,-4.0073895,175.995
133979.47934654,-4.0040979,176.02492
135005.49001947,-4.0042858,176.05408
136039.35785012,-4.0029292,176.08455
137081.14300837,-4.0033655,176.11397
138130.90612485,-4.0052514,176.14421
139188.70829453,-4.0066266,176.17288
140254.61108023,-4.0140467,176.20303
141328.6765162,-4.0213566,176.23302
142410.96711177,-4.0183868,176.26256
143501.54585496,-4.023294,176.29195
144600.47621614,-4.013176,176.3204
145707.82215174,-4.0086317,176.34944
146823.64810797,-4.0047102,176.37727
147948.01902456,-3.9966488,176.40561
149081.00033855,-4.0049052,176.43388
150222.6579881,-3.9991536,176.46185
151373.05841631,-4.011663,176.48822
152532.26857511,-4.017314,176.51384
153700.35592913,-4.0227489,176.54149
154877.38845968,-4.0332894,176.56526
156063.43466862,-4.0325403,176.58936
157258.56358243,-4.0341401,176.6129
158462.84475617,-4.0288482,176.63705
159676.34827757,-4.0185747,176.65955
160899.14477108,-4.0157242,176.68184
162131.30540199,-4.0157461,176.70424
